iteration,mean_score,best_score_so_far,epsilon_inf,target_db,l2_norm,linf_norm,drums,bass,vocals,other
0,14.419609732626272,inf,0.002,-40,0.583692054748535,0.0009296544340944894,15.876132762371727,14.712690477469808,16.406793034808373,10.682822655855185
1,14.45912459471187,14.419609732626272,0.002,-40,0.5836920547485352,0.0009298900995744944,15.804623126450352,14.705816978882622,16.70317202625282,10.62288624726169
2,14.419334402801919,14.419609732626272,0.002,-40,0.5836920547485351,0.0009300786636014201,15.769395834708456,14.764226029246291,16.452982787386425,10.690732959866503
3,14.349625174438021,14.419334402801919,0.002,-40,0.5836920547485351,0.000929704008512218,15.795274956385798,14.748484735962121,16.380662027058687,10.47407897834547
4,14.402639285655228,14.349625174438021,0.002,-40,0.5836920547485352,0.00092947334961316,15.713673597408068,14.576654000225856,16.748461130039935,10.571768414947051
5,14.367705245292797,14.349625174438021,0.002,-40,0.5836920547485352,0.0009296806516997735,15.716476688235813,14.454129978937257,16.631391708828186,10.668822605169936
6,14.434917548777596,14.349625174438021,0.002,-40,0.583692054748535,0.0009296860354245774,15.947992039531432,14.513333670023714,16.66613481527229,10.612209670282944
7,14.433847156971822,14.349625174438021,0.002,-40,0.5836920547485355,0.0009291081876617893,15.965284668287497,14.581931828190639,16.65186237869785,10.536309752711306
8,14.44306624838212,14.349625174438021,0.002,-40,0.5836920547485349,0.0009297776985407065,15.670760320509405,14.929236297754706,16.61960402502684,10.552664350237526
9,14.416943229446899,14.349625174438021,0.002,-40,0.5836920547485347,0.0009294037956429128,15.86031450760607,14.5486802747003,16.702800929605896,10.55597720587533
10,14.413759288691482,14.349625174438021,0.002,-40,0.583692054748535,0.0009299435583145419,15.742692563046141,14.715608695207617,16.495457106405922,10.701278790106251
11,14.500769428102148,14.349625174438021,0.002,-40,0.583692054748535,0.0009294716599432731,15.902686200545235,14.713179624238254,16.64933424934755,10.737877638277544
12,14.456885099414963,14.349625174438021,0.002,-40,0.5836920547485352,0.000929444585385187,15.909200839660592,14.494650825379793,16.704803643432733,10.718885089186735
13,14.347606028623705,14.349625174438021,0.002,-40,0.5836920547485351,0.0009292419132564698,15.769779062200236,14.510344982169453,16.445497318125263,10.664802751999872
14,14.450801643247663,14.347606028623705,0.002,-40,0.5836920547485351,0.0009295550131995226,15.783408410146816,14.775733249632449,16.71189406150886,10.532170851702526
15,14.42156706813203,14.347606028623705,0.002,-40,0.5836920547485351,0.0009296040959739186,15.708886648124258,14.750583010986448,16.705873309408716,10.520925304008692
16,14.463425091568384,14.347606028623705,0.002,-40,0.5836920547485351,0.0009294795708160836,15.82344364471497,14.549385923188286,16.73703633623939,10.743834462130884
17,14.360037920681567,14.347606028623705,0.002,-40,0.5836920547485352,0.0009298088919379512,15.779131073143999,14.48334778093285,16.68249441609605,10.495178412553368
18,14.470640610564466,14.347606028623705,0.002,-40,0.583692054748535,0.0009299492672295121,15.859675468526934,14.673090500592583,16.69317521838707,10.656621254751283
19,14.491837959899932,14.347606028623705,0.002,-40,0.5836920547485349,0.0009296723082197286,15.791007554704208,14.846019510507409,16.679520725586038,10.65080404880207
20,14.465766160000364,14.347606028623705,0.002,-40,0.5836920547485354,0.0009294178691572771,15.91764589067572,14.651363784195505,16.740417450401765,10.553637514728466
21,14.483753267937622,14.347606028623705,0.002,-40,0.583692054748535,0.0009297764333046334,15.987003645175442,14.616235027248777,16.51006091113203,10.821713488194238
22,14.269755353937772,14.347606028623705,0.002,-40,0.5836920547485348,0.0009300976143503915,15.841337388752441,14.319316230669205,16.423146915965145,10.495220880364299
23,14.32151138003858,14.269755353937772,0.002,-40,0.5836920547485354,0.0009295216851091516,15.703979747716794,14.393469079549284,16.55210743164917,10.63648926123907
24,14.355065550511775,14.269755353937772,0.002,-40,0.5836920547485352,0.0009298563995218374,15.75933859961806,14.426966144108766,16.652244973652945,10.581712484667328
25,14.383628568363633,14.269755353937772,0.002,-40,0.583692054748535,0.0009293198623242204,15.75496324332734,14.372625652733372,16.674068791247436,10.732856586146386
26,14.453398953247358,14.269755353937772,0.002,-40,0.5836920547485349,0.0009291916813057135,15.64489409998221,14.70387339663451,16.691574531401557,10.773253784971164
27,14.389930914407248,14.269755353937772,0.002,-40,0.583692054748535,0.0009298383118387754,15.747367372782993,14.548963855677862,16.662424445289183,10.600967983878961
28,14.407732380716528,14.269755353937772,0.002,-40,0.583692054748535,0.0009295050747051948,15.7913262772024,14.738430923868076,16.50687390546083,10.594298416334807
29,14.46855929069091,14.269755353937772,0.002,-40,0.5836920547485347,0.0009297323170538445,15.78977726428616,14.723148090177208,16.65810466094508,10.703207147355196
30,14.382784537639616,14.269755353937772,0.002,-40,0.5836920547485354,0.0009297117659155488,15.816386583459126,14.496261453480837,16.530650660253965,10.687839453364536
31,14.448492642574315,14.269755353937772,0.002,-40,0.5836920547485354,0.0009296398352951177,15.776889265630501,14.753999719825607,16.63798012043565,10.625101464405503
32,14.389997395454087,14.269755353937772,0.002,-40,0.5836920547485354,0.0009295868399509232,15.836670012614327,14.537028603719989,16.61115529474355,10.575135670738485
33,14.426643423192267,14.269755353937772,0.002,-40,0.5836920547485351,0.00092890406536626,15.651892482399354,14.734613586677781,16.72018238332396,10.599885240367978
34,14.430306808837754,14.269755353937772,0.002,-40,0.5836920547485352,0.000929467617294076,15.92404572544853,14.637974879516992,16.575429185053757,10.583777445331743
35,14.345758665908008,14.269755353937772,0.002,-40,0.583692054748535,0.0009297084384614834,15.764885264941553,14.258147408719164,16.635333146824863,10.72466884314645
36,14.40665635709778,14.269755353937772,0.002,-40,0.583692054748535,0.0009297502695180715,15.786790684801218,14.581512424745606,16.642187543865443,10.61613477497886
37,14.495211997894422,14.269755353937772,0.002,-40,0.583692054748535,0.0009292078168660115,15.895800528534854,14.762083482824911,16.6815239902841,10.641439989933826
38,14.319426728293719,14.269755353937772,0.002,-40,0.5836920547485351,0.0009296589762431509,15.778155753994005,14.341372307772144,16.505305547095507,10.652873304313223
39,14.431520212903424,14.269755353937772,0.002,-40,0.5836920547485349,0.0009294222865387611,15.753691468577651,14.713575675903446,16.708785553309006,10.550028153823588
40,14.470370875581326,14.269755353937772,0.002,-40,0.5836920547485351,0.0009296740748537257,15.767423645707208,14.759894372504899,16.745255142012184,10.608910342101012
41,14.421388214070543,14.269755353937772,0.002,-40,0.5836920547485354,0.0009294181559014579,15.869431771341983,14.437457531782307,16.767062908478437,10.61160064467944
42,14.468227992969359,14.269755353937772,0.002,-40,0.5836920547485352,0.0009295821529075944,15.873827706219554,14.579489509895769,16.676770039198125,10.742824716563987
43,14.357529936157768,14.269755353937772,0.002,-40,0.583692054748535,0.0009296091962187298,15.879307285422223,14.425560267510285,16.589365376073797,10.535886815624762
44,14.421734089672357,14.269755353937772,0.002,-40,0.5836920547485349,0.0009296476323416422,15.76758309854285,14.682517916112246,16.634016946273505,10.602818397760828
